"player_id","pfr_id","player_name","recent_team","position","games","fantasy_points_ppr","season","ppr_per_game","ppr_rank","ppr_finish_12","ppr_finish_24","ppr_finish_36","ppr_finish_48","ppr_finish_3","ppr_finish_6"
"00-0012726","PedeDo00","D.Pederson","CLE","QB",10,39.88,2000,3.988,41,0,0,0,1,0,0
"00-0010560","MattSh00","S.Matthews","CHI","QB",6,39.46,2000,6.57666666666667,42,0,0,0,1,0,0
"00-0006212","GrahKe00","K.Graham","PIT","QB",8,35.82,2000,4.4775,43,0,0,0,1,0,0
"00-0002787","CaseSt00","S.Case","DET","QB",5,35.62,2000,7.124,44,0,0,0,1,0,0
"00-0007834","HuarBr00","B.Huard","SEA","QB",5,31.22,2000,6.244,45,0,0,0,1,0,0
"00-0012261","ODonNe00","N.O'Donnell","TEN","QB",6,22.64,2000,3.77333333333333,46,0,0,0,1,0,0
"00-0011276","MillJi00","J.Miller","CHI","QB",3,19.54,2000,6.51333333333333,47,0,0,0,1,0,0
"00-0009007","KaneDa00","D.Kanell","ATL","QB",5,18.24,2000,3.648,48,0,0,0,1,0,0
"00-0010455","MartJa00","J.Martin","JAX","QB",5,17.68,2000,3.536,49,0,0,0,0,0,0
"00-0001907","BrowDa00","D.Brown","ARI","QB",4,16.68,2000,4.17,50,0,0,0,0,0,0
"00-0019087","JohnDo00","D.Johnson","ATL","QB",4,13.34,2000,3.335,51,0,0,0,0,0,0
"00-0011378","MireRi00","R.Mirer","SF","QB",1,11.54,2000,11.54,52,0,0,0,0,0,0
"00-0011524","MoonWa00","W.Moon","KC","QB",2,10.52,2000,5.26,53,0,0,0,0,0,0
"00-0007835","HuarDa00","D.Huard","MIA","QB",3,10.04,2000,3.34666666666667,54,0,0,0,0,0,0
"00-0007091","HassMa00","M.Hasselbeck","GB","QB",4,7.66,2000,1.915,55,0,0,0,0,0,0
"00-0019559","PennCh01","C.Pennington","NYJ","QB",1,6.68,2000,6.68,56,0,0,0,0,0,0
"00-0010137","LucaRa00","R.Lucas","NYJ","QB",6,6.44,2000,1.07333333333333,57,0,0,0,0,0,0
"00-0009868","LewiJe01","J.Lewis","CAR","QB",5,5.9,2000,1.18,58,0,0,0,0,0,0
"00-0001272","BishMi00","M.Bishop","NE","QB",7,5.1,2000,0.728571428571429,59,0,0,0,0,0,0
"00-0019442","StoeCl00","C.Stoerner","DAL","QB",1,4.96,2000,4.96,60,0,0,0,0,0,0
"00-0006410","GreiCh00","C.Greisen","ARI","QB",2,4.7,2000,2.35,61,0,0,0,0,0,0
"00-0001785","BrisBu00","B.Brister","MIN","QB",2,3.28,2000,1.64,62,0,0,0,0,0,0
"00-0018272","WrigAn00","A.Wright","DAL","QB",4,3.08,2000,0.77,63,0,0,0,0,0,0
"00-0016838","VanPAl00","A.Van Pelt","BUF","QB",1,2.68,2000,2.68,64,0,0,0,0,0,0
"00-0019553","WynnSp00","S.Wynn","CLE","QB",7,1.5,2000,0.214285714285714,65,0,0,0,0,0,0
"00-0003600","CraiDa00","D.Craig","CAR","QB",3,1.4,2000,0.466666666666667,66,0,0,0,0,0,0
"00-0019709","RedmCh00","C.Redman","BAL","QB",1,0.76,2000,0.76,67,0,0,0,0,0,0
"00-0005600","FrieJo00","J.Friesz","NE","QB",1,0.64,2000,0.64,68,0,0,0,0,0,0
"00-0018483","ZeieEr00","E.Zeier","TB","QB",3,0.56,2000,0.186666666666667,69,0,0,0,0,0,0
"00-0019278","ThomKe00","K.Thompson","CLE","QB",1,0.32,2000,0.32,70,0,0,0,0,0,0
"00-0019596","BradTo00","T.Brady","NE","QB",1,0.24,2000,0.24,71,0,0,0,0,0,0
"00-0007059","HartMa20","M.Hartsell","CHI","QB",1,0,2000,0,72,0,0,0,0,0,0
"00-0019192","BrowTr01","Tr.Brown","SEA","QB",1,0,2000,0,73,0,0,0,0,0,0
