season,gsis_id,player_name,position,category,rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2016,00-0026995,Jeremy Maclin,WR,fantasy_points_ppr,71,109.5,0,0,0,0,0,0
2016,00-0028202,Shaun Draughn,RB,fantasy_points_ppr,43,108.9,0,0,0,0,0,1
2016,00-0029273,Robert Turbin,RB,fantasy_points_ppr,44,108.3,0,0,0,0,0,1
2016,00-0032764,Derrick Henry,RB,fantasy_points_ppr,45,105.7,0,0,0,0,0,1
2016,00-0032778,Tajae Sharpe,WR,fantasy_points_ppr,72,105.3,0,0,0,0,0,0
2016,00-0030108,Ryan Griffin,TE,fantasy_points_ppr,25,104.2,0,0,0,0,1,1
2016,00-0031051,John Brown,WR,fantasy_points_ppr,73,103.7,0,0,0,0,0,0
2016,00-0031339,Donte Moncrief,WR,fantasy_points_ppr,74,102.6,0,0,0,0,0,0
2016,00-0029854,C.J. Anderson,RB,fantasy_points_ppr,46,102.5,0,0,0,0,0,1
2016,00-0032411,Kenneth Dixon,RB,fantasy_points_ppr,47,102.4,0,0,0,0,0,1
2016,00-0027265,Victor Cruz,WR,fantasy_points_ppr,75,101.6,0,0,0,0,0,0
2016,00-0032054,Breshad Perriman,WR,fantasy_points_ppr,76,101.1,0,0,0,0,0,0
2016,00-0030821,Allen Hurns,WR,fantasy_points_ppr,77,100.7,0,0,0,0,0,0
2016,00-0024242,DeAngelo Williams,RB,fantasy_points_ppr,48,100.1,0,0,0,0,0,1
2016,00-0032208,Phillip Dorsett,WR,fantasy_points_ppr,78,98.8,0,0,0,0,0,0
2016,00-0030549,Tyler Eifert,TE,fantasy_points_ppr,26,98.4,0,0,0,0,1,1
2016,00-0029159,Jermaine Kearse,WR,fantasy_points_ppr,79,98,0,0,0,0,0,0
2016,00-0027656,Rob Gronkowski,TE,fantasy_points_ppr,27,97,0,0,0,0,1,1
2016,00-0032128,Chris Conley,WR,fantasy_points_ppr,80,97,0,0,0,0,0,0
2016,00-0032400,Malcolm Mitchell,WR,fantasy_points_ppr,81,96.1,0,0,0,0,0,0
2016,00-0027531,Chris Ivory,RB,fantasy_points_ppr,49,94.5,0,0,0,0,0,0
2016,00-0030668,Charcandrick West,RB,fantasy_points_ppr,50,94.1,0,0,0,0,0,0
2016,00-0029205,Travaris Cadet,RB,fantasy_points_ppr,51,94,0,0,0,0,0,0
2016,00-0032004,Will Tye,TE,fantasy_points_ppr,28,93.5,0,0,0,0,1,1
2016,00-0030874,Damien Williams,RB,fantasy_points_ppr,52,93.4,0,0,0,0,0,0
2016,00-0032966,Corey Coleman,WR,fantasy_points_ppr,82,93.3,0,0,0,0,0,0
2016,00-0031665,Zach Zenner,RB,fantasy_points_ppr,53,93,0,0,0,0,0,0
2016,00-0028083,Jacquizz Rodgers,RB,fantasy_points_ppr,54,90.8,0,0,0,0,0,0
2016,00-0032135,Jesse James,TE,fantasy_points_ppr,29,90.8,0,0,0,0,1,1
2016,00-0030068,Marquise Goodwin,WR,fantasy_points_ppr,83,90.1,0,0,0,0,0,0
2016,00-0029708,Kendall Wright,WR,fantasy_points_ppr,84,90.1,0,0,0,0,0,0
2016,00-0027873,Jermaine Gresham,TE,fantasy_points_ppr,30,88.1,0,0,0,0,1,1
2016,00-0026182,Eddie Royal,WR,fantasy_points_ppr,85,87.9,0,0,0,0,0,0
2016,00-0031549,Nelson Agholor,WR,fantasy_points_ppr,86,87.9,0,0,0,0,0,0
2016,00-0032218,Dorial Green-Beckham,WR,fantasy_points_ppr,87,87.2,0,0,0,0,0,0
2016,00-0030470,Vance McDonald,TE,fantasy_points_ppr,31,87.1,0,0,0,0,1,1
2016,00-0032256,Clive Walford,TE,fantasy_points_ppr,32,86.9,0,0,0,0,1,1
2016,00-0032055,Devin Funchess,TE,fantasy_points_ppr,33,86.1,0,0,0,0,1,1
2016,00-0029613,Doug Martin,RB,fantasy_points_ppr,55,85.5,0,0,0,0,0,0
2016,00-0032940,DeAndre Washington,RB,fantasy_points_ppr,56,85.2,0,0,0,0,0,0
2016,00-0027918,Andrew Hawkins,WR,fantasy_points_ppr,88,83.4,0,0,0,0,0,0
2016,00-0031325,Sammy Watkins,WR,fantasy_points_ppr,89,83,0,0,0,0,0,0
2016,00-0028067,Julius Thomas,TE,fantasy_points_ppr,34,82.1,0,0,0,0,1,1
2016,00-0030669,Albert Wilson,WR,fantasy_points_ppr,90,81.9,0,0,0,0,0,0
2016,00-0028903,Garrett Celek,TE,fantasy_points_ppr,35,80,0,0,0,0,1,1
2016,00-0026625,Brian Hoyer,QB,fantasy_points_ppr,31,79.6,0,0,0,0,1,1
2016,00-0032166,Sammie Coates,WR,fantasy_points_ppr,91,77.9,0,0,0,0,0,0
2016,00-0030450,Quinton Patton,WR,fantasy_points_ppr,92,77.8,0,0,0,0,0,0
2016,00-0033104,Cody Kessler,QB,fantasy_points_ppr,32,77,0,0,0,0,1,1
2016,00-0032417,Paul Perkins,RB,fantasy_points_ppr,57,76.8,0,0,0,0,0,0
2016,00-0030288,Rex Burkhead,RB,fantasy_points_ppr,58,75.9,0,0,0,0,0,0
2016,00-0030710,Trey Burton,TE,fantasy_points_ppr,36,75.7,0,0,0,0,1,1
2016,00-0030422,Dion Sims,TE,fantasy_points_ppr,37,75.6,0,0,0,0,0,1
2016,00-0031897,Thomas Rawls,RB,fantasy_points_ppr,59,75.5,0,0,0,0,0,0
2016,00-0031939,Matt Jones,RB,fantasy_points_ppr,60,75.3,0,0,0,0,0,0
