season,gsis_id,player_name,position,category,pos_rank,points,finish_3,finish_6,finish_12,finish_24,finish_36,finish_48
2023,00-0036841,Austin Trammell,WR,fantasy_points_hppr,185,4.9,0,0,0,0,0,0
2023,00-0034955,Brett Rypien,QB,fantasy_points_hppr,69,4.78,0,0,0,0,0,0
2023,00-0036429,Charlie Woerner,TE,fantasy_points_hppr,94,4.7,0,0,0,0,0,0
2023,00-0035645,Gunner Olszewski,WR,fantasy_points_hppr,186,4.5,0,0,0,0,0,0
2023,00-0037291,Jalen Nailor,WR,fantasy_points_hppr,187,4.4,0,0,0,0,0,0
2023,00-0034750,Rashaad Penny,RB,fantasy_points_hppr,113,4.3,0,0,0,0,0,0
2023,00-0037277,Teagan Quitoriano,TE,fantasy_points_hppr,95,4.3,0,0,0,0,0,0
2023,00-0038783,Nate Adkins,TE,fantasy_points_hppr,96,4.2,0,0,0,0,0,0
2023,00-0038951,Sean Tucker,RB,fantasy_points_hppr,114,4.2,0,0,0,0,0,0
2023,00-0034928,Steven Sims,WR,fantasy_points_hppr,188,4.1,0,0,0,0,0,0
2023,00-0029293,Marvin Jones,WR,fantasy_points_hppr,189,4,0,0,0,0,0,0
2023,00-0033856,Leonard Fournette,RB,fantasy_points_hppr,115,4,0,0,0,0,0,0
2023,00-0037252,Greg Dulcich,TE,fantasy_points_hppr,97,4,0,0,0,0,0,0
2023,00-0033251,Zach Pascal,WR,fantasy_points_hppr,190,3.9,0,0,0,0,0,0
2023,00-0035934,Trishton Jackson,WR,fantasy_points_hppr,191,3.9,0,0,0,0,0,0
2023,00-0036510,Kenny Yeboah,TE,fantasy_points_hppr,98,3.8,0,0,0,0,0,0
2023,00-0037282,James Mitchell,TE,fantasy_points_hppr,99,3.8,0,0,0,0,0,0
2023,00-0033662,Cooper Rush,QB,fantasy_points_hppr,70,3.26,0,0,0,0,0,0
2023,00-0035703,Miles Boykin,WR,fantasy_points_hppr,192,3.2,0,0,0,0,0,0
2023,00-0038128,Malik Willis,QB,fantasy_points_hppr,71,3.06,0,0,0,0,0,0
