"mfl_id","player_name","gsis_id","team","pfr_id"
15608,"LaDarius Hamilton","00-0036030","FA","HamiLa01"
15612,"Sam Kamara","00-0036705","CLE","KamaSa00"
15614,"Nick McCloud","00-0036589","NYG","McClNi00"
15618,"Naquan Jones","00-0036695","TEN","JoneNa01"
15620,"Chris Myarick","00-0035345","NYG","MyarCh00"
15621,"Breiden Fehoko","00-0035927","PIT","FehoBr01"
15626,"Brock Wright","00-0036754","DET","WrigBr01"
15629,"Josiah Bronson","00-0036537","MIA","BronJo01"
15644,"Jake Gervase","00-0035609","FA","GervJa00"
15650,"Adam Prentice","00-0036727","NOS","PrenAd00"
15671,"Michael Bandy","00-0036959","DEN","BandMi00"
15673,"Michael Dwumfour","00-0036507","CLE","DwumMi00"
15681,"Christian Elliss","00-0036813","PHI","ElliCh00"
15683,"CJ Saunders","00-0036910","CAR","SaunCJ00"
15691,"Matt Corral","00-0038132","CAR","CorrMa00"
15692,"Kenny Pickett","00-0038102","PIT","PickKe00"
15693,"Sam Howell","00-0037077","WAS","HoweSa00"
15694,"Malik Willis","00-0038128","TEN","WillMa12"
15695,"Carson Strong",NA,"FA","StroCa00"
15696,"Bailey Zappe","00-0038108","NEP","ZappBa00"
15697,"Desmond Ridder","00-0038122","ATL","RiddDe00"
15698,"Brock Purdy","00-0037834","SFO","PurdBr00"
15699,"Skylar Thompson","00-0037327","MIA","ThomSk00"
15701,"Chase Garbers","00-0037507","LVR","GarbCh00"
15702,"Tanner McKee",NA,"PHI","McKeTa01"
15705,"DEriq King",NA,"FA","KingDE02"
15707,"EJ Perry",NA,"FA","PerrEJ00"
15708,"Breece Hall","00-0038120","NYJ","HallBr03"
15709,"Isaiah Spiller","00-0038045","LAC","SpilIs00"
15710,"Kyren Williams","00-0037840","LAR","WillKy02"
15711,"Kenneth Walker","00-0038134","SEA","WalkKe00"
15712,"Tyler Allgeier","00-0037263","ATL","AllgTy00"
15713,"Jerome Ford","00-0037267","CLE","FordJe00"
15714,"Zamir White","00-0038040","LVR","WhitZa01"
15715,"James Cook","00-0037248","BUF","CookJa01"
15716,"Brian Robinson","00-0037746","WAS","RobiBr01"
15717,"Dameon Pierce","00-0037258","HOU","PierDa01"
15718,"Tyler Badie","00-0037085","DEN","BadiTy00"
15719,"Kevin Harris","00-0037286","NEP","HarrKe01"
15720,"Hassan Haskins","00-0037617","TEN","HaskHa00"
15721,"Rachaad White","00-0037256","TBB","WhitRa01"
15722,"Jerrion Ealy",NA,"KCC","EalyJe00"
15723,"Ty Chandler","00-0037276","MIN","ChanTy01"
15725,"Snoop Conner","00-0037265","JAC","ConnSn00"
15726,"Ronnie Rivers","00-0037557","LAR","RiveRo01"
15727,"Zonovan Knight","00-0037157","NYJ","KnigZo00"
15728,"Abram Smith",NA,"MIN","SmitAb00"
15729,"Jashaun Corbin",NA,"NYG","CorbJa01"
15730,"Tyler Goodson","00-0037120","GBP","GoodTy00"
15731,"Master Teague",NA,"FA","TeagMa00"
15733,"Pierre Strong","00-0038098","NEP","StroPi00"
15734,"Keaontay Ingram","00-0037299","ARI","IngrKe01"
15735,"Max Borghi",NA,"FA","BorgMa00"
15736,"Kennedy Brooks",NA,"PHI","BrooKe01"
15738,"Malik Davis","00-0037563","DAL","DaviMa02"
15739,"ZaQuandre White",NA,"FA","WhitZa00"
15742,"Jaylen Warren","00-0037228","PIT","WarrJa01"
15743,"Sincere McCormick","00-0037509","LVR","McCoSi00"
15744,"Dvonte Price","00-0037400","FA","PricDV00"
15746,"Tyrion Davis-Price","00-0037827","SFO","DaviTy03"
15748,"Trestan Ebner","00-0037087","CHI","EbneTr00"
15749,"Isiah Pacheco","00-0037197","KCC","PachIs00"
15751,"Drake London","00-0037238","ATL","LondDr00"
15752,"Treylon Burks","00-0037742","TEN","BurkTr00"
15753,"Garrett Wilson","00-0037740","NYJ","WilsGa00"
15754,"Chris Olave","00-0037239","NOS","OlavCh00"
15755,"Jahan Dotson","00-0037741","WAS","DotsJa00"
15756,"Jameson Williams","00-0037240","DET","WillJa11"
15757,"WanDale Robinson","00-0038117","NYG","RobiWa01"
15758,"David Bell","00-0037257","CLE","BellDa02"
15759,"John Metchie","00-0037614","HOU","MetcJo00"
15761,"Khalil Shakir","00-0037261","BUF","ShakKh00"
15762,"George Pickens","00-0037247","PIT","PickGe00"
15763,"Justyn Ross","00-0037216","KCC","RossJu00"
15765,"Kevin Austin",NA,"JAC","AustKe00"
15766,"Skyy Moore","00-0038090","KCC","MoorSk01"
15767,"Velus Jones","00-0037745","CHI","JoneVe00"
15768,"Alec Pierce","00-0037664","IND","PierAl00"
15769,"Reggie Roberson",NA,"TEN","RobeRe00"
15771,"Tay Martin","00-0037524","SFO","MartTa00"
15772,"Britain Covey","00-0037132","PHI","CoveBr00"
15773,"Makai Polk",NA,"BAL","PolkMa00"
15774,"Dontario Drummond",NA,"DAL","DrumDo00"
15775,"Braylon Sanders","00-0037355","MIA","SandBr00"
15777,"Calvin Austin","00-0037837","PIT","AustCa00"
15779,"Romeo Doubs","00-0037816","GBP","DoubRo00"
15780,"Erik Ezukanma","00-0038092","MIA","EzukEr00"
15781,"Ty Fryfogle",NA,"KCC","FryfTy00"
15782,"Danny Gray","00-0037828","SFO","GrayDa02"
15783,"Johnny Johnson","00-0037460","HOU","JohnJo12"
15785,"Bo Melton","00-0037091","GBP","MeltBo00"
15786,"Jalen Nailor","00-0037291","MIN","NailJa00"
15787,"Tyquan Thornton","00-0038104","NEP","ThorTy00"
15788,"Jalen Tolbert","00-0037666","DAL","TolbJa00"
15789,"Christian Watson","00-0038124","GBP","WatsCh00"
15790,"Isaiah Weston","00-0037343","FA","WestIs00"
15792,"Michael Woods",NA,"CLE","WoodMi00"
15793,"Jalen Wydermyer",NA,"FA","WydeJa00"
15794,"Trey McBride","00-0037744","ARI","McBrTr01"
15795,"Charlie Kolar","00-0038046","BAL","KolaCh00"
15796,"Jeremy Ruckert","00-0037805","NYJ","RuckJe00"
15797,"Greg Dulcich","00-0037252","DEN","DulcGr00"
15798,"Isaiah Likely","00-0037838","BAL","LikeIs00"
15799,"Jake Ferguson","00-0038041","DAL","FergJa00"
15800,"Connor Heyward","00-0037304","PIT","HeywCo00"
15801,"Austin Allen",NA,"GBP","AlleAu00"
15802,"Cade Otton","00-0038129","TBB","OttoCa00"
15803,"Cole Turner","00-0037078","WAS","TurnCo00"
