"club_code","depth_team","FS","S","CB","SS","DE","DT","NT","OLB","ILB","C","RT","G","T","LG","RG","LT","QB","RB","P","K","LS","TE","WR","DB","DL","FB","RUSH","SAM","MLB","WLB","LB","X.....","NCB","EDGE","SLB","MIKE","WILL","RDE","LDE","ROT","LOT","HB","NKL","RCB","LCB","RE","LE","NB","RILB","LOLB","LILB","ROLB","RDT","LDT"
"LV","4","NULL","NULL","c(""N. Robey (CB, PS; Vet)"", ""A. Averett (CB, R/Injured)"", ""A. Ya-Sin (CB, R/Injured)"", ""I. Brown (CB, Practice Squad)"")","NULL","c(""C. Jones (DE, R/Injured)"", ""J. Jenkins (DE, R/Injured)"", ""I. Rochell (DE, Active)"")","M. Tagovailoa-Amosa (DT, Prac Sq.; Inj)","NULL","c(""J. Brown (OLB, R/Injured)"", ""T. Harris (OLB, PS; Vet)"", ""D. Deablo (OLB, R/Injured)"")","c(""B. Martinez (ILB, R/Retired)"", ""H. Langi (ILB, Active)"", ""A. Calitro (ILB, Active)"", ""M. Kiser (ILB, R/Injured)"")","NULL","NULL","c(""D. Good (G, R/Retired)"", ""N. Muti (G, Active)"", ""J. Meredith (G, Practice Squad)"")","c(""B. Parker (T, R/Injured)"", ""J. Herron (T, R/Injured)"", ""S. Gutierrez (T, Practice Squad)"", ""V. Gurman (T, Practice Squad)"")","NULL","NULL","NULL","C. Garbers (QB, Active)","c(""A. Walter (RB, Practice Squad)"", ""S. McCormick (RB, R/Injured)"")","A. Cole (P, Active)","D. Carlson (K, Active)","T. Sieg (LS, Active)","C. Fotheringham (TE, Practice Squad)","c(""C. Lacy (WR, Active)"", ""I. Zuber (WR, Practice Squad)"", ""D. Stoner (WR, Prac Sq.; Inj)"", ""D. Turner (WR, Practice Squad)"")","c(""J. Elliott (DB, Practice Squad)"", ""B. Cosby (DB, Practice Squad)"", ""M. Morrison (DB, R/Retired)"")","NULL","NULL","NULL","NULL","D. Perryman (MLB, R/Injured)","NULL","K. Mauga (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIA","4","NULL","NULL","c(""B. Jones (CB, R/PUP)"", ""J. Perry (CB, PS; Vet)"", ""K. Hollman (CB, PS; Exc)"", ""N. Needham (CB, R/Injured)"", ""T. Williams (CB, R/Injured)"")","B. Jones (SS, R/Injured)","c(""E. Ogbah (DE, R/Injured)"", ""R. McIntosh (DE, PS; Vet)"", ""P. Gustin (DE, Prac Sq.; Inj)"")","c(""J. Zimmer (DT, R/Injured)"", ""J. Twyman (DT, Practice Squad)"", ""J. Bronson (DT, Practice Squad)"")","NULL","c(""T. Flowers (OLB, R/Injured)"", ""B. Scarlett (OLB, PS; Vet)"")","NULL","J. Empey (C, Practice Squad)","NULL","NULL","c(""E. Fisher (T, R/Injured)"", ""A. Jackson (T, R/Injured)"", ""K. Smith (T, Practice Squad)"")","NULL","NULL","NULL","c(""M. Glennon (QB, PS; Vet)"", ""J. Lovett (QB, R/Injured)"")","c(""M. Gaskin (RB, R/Injured)"", ""J. Bargas (RB, Practice Squad)"")","T. Morstead (P, Active)","J. Sanders (K, Active)","B. Ferguson (LS, Active)","c(""A. Shaheen (TE, R/Injured)"", ""C. Carter (TE, R/Injured)"")","c(""C. Jackson (WR, Practice Squad)"", ""B. Sanders (WR, Practice Squad)"")","T. Ellis (DB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","C. Goode (LB, Practice Squad)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"MIN","4","L. Cine (FS, R/Injured)","NULL","c(""P. Nickerson (CB, PS; Vet)"", ""Q. Gowan (CB, Practice Squad)"", ""A. Booth (CB, R/Injured)"", ""A. Evans (CB, R/Injured)"")","M. Dorn (SS, PS; Exc)","c(""K. Willekes (DE, R/Injured)"", ""B. Whitley (DE, Practice Squad)"")","c(""S. Day (DT, PS; Vet)"", ""T. Smith (DT, Practice Squad)"")","NULL","R. Connelly (OLB, PS; Vet)","NULL","c(""G. Mancz (C, Waivers/No Rec.)"", ""J. Sokol (C, Practice Squad)"")","NULL","c(""A. Schlottmann (G, R/Injured)"", ""B. Evans (G, PS; Vet)"", ""K. Hinton (G, Practice Squad)"")","c(""B. O'Neill (T, R/Injured)"", ""B. Brandel (T, Active)"")","NULL","NULL","NULL","J. Rosen (QB, PS; Vet)","B. Koback (RB, Practice Squad)","R. Wright (P, Active)","G. Joseph (K, Active)","A. DePaola (LS, Active)","c(""J. O'Shaughnessy (TE, PS; Vet)"", ""B. Ellefson (TE, R/Injured)"", ""N. Muse (TE, Practice Squad)"")","c(""O. Johnson (WR, R/Injured)"", ""T. Jackson (WR, Practice Squad)"", ""D. Chisena (WR, PS; Exc)"", ""C. Proehl (WR, Practice Squad)"", ""T. Hennigan (WR, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NE","4","C. Davis (FS, R/Injured)","NULL","c(""J. Williams (CB, R/Injured)"", ""J. Jones (CB, R/Club Susp.)"")","NULL","c(""R. Perkins (DE, R/Injured)"", ""J. Pharms (DE, Practice Squad)"", ""L. Ray (DE, Prac Sq.; Inj)"")","NULL","NULL","c(""J. Collins (OLB, PS; Vet)"", ""T. Hall (OLB, Practice Squad)"")","NULL","NULL","NULL","c(""B. Murray (G, Practice Squad)"", ""C. Hines (G, R/Injured)"", ""H. Howerton (G, Practice Squad)"")","c(""M. Cannon (T, R/Injured)"", ""I. Wynn (T, R/Injured)"", ""A. Stueber (T, R/NFIN; DFR)"")","NULL","NULL","NULL","c(""B. Hoyer (QB, R/Injured)"", ""G. Gilbert (QB, PS; Vet)"")","c(""J. White (RB, R/Retired)"", ""L. Bowden (RB, PS; Exc)"", ""M. Perry (RB, R/Retired)"", ""J. Taylor (RB, Practice Squad)"")","c(""M. Palardy (P, Active)"", ""J. Bailey (P, R/Club Susp.)"")","c(""N. Folk (K, Active)"", ""T. Vizcaino (K, Practice Squad)"", ""Q. Nordin (K, R/NFIN)"")","c(""J. Cardona (LS, R/Injured)"", ""T. Addington (LS, Active)"")","S. Washington (TE, Prac Sq.; Inj)","c(""T. Montgomery (WR, R/Injured)"", ""K. Wilkerson (WR, R/Injured)"", ""T. Nixon (WR, Practice Squad)"")","c(""Q. Mosely (DB, Practice Squad)"", ""B. Hawkins (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NO","4","NULL","NULL","NULL","M. Jenkins (SS, R/Retired)","c(""J. Zuniga (DE, PS; Exc)"", ""N. Lalos (DE, Practice Squad)"")","c(""A. Huggins (DT, R/Injured)"", ""J. Jackson (DT, Practice Squad)"", ""P. Emili (DT, Practice Squad)"")","NULL","Z. Baun (OLB, R/Injured)","K. Alonso (ILB, R/Retired)","NULL","NULL","c(""J. Andrews (G, Active)"", ""D. Desjarlais (G, Practice Squad)"", ""C. Ruiz (G, R/Injured)"", ""Y. Durant (G, Prac Sq.; Inj)"")","c(""E. Greenidge (T, R/Injured)"", ""D. Kelly (T, Practice Squad)"", ""S. Doxtater (T, Practice Squad)"")","NULL","NULL","NULL","J. Luton (QB, Practice Squad)","c(""M. Ingram (RB, R/Injured)"", ""D. Washington (RB, R/NFIL)"", ""D. Gore (RB, PS; Exc)"")","B. Gillikin (P, Active)","W. Lutz (K, Active)","Z. Wood (LS, Active)","c(""J. Holtz (TE, Active)"", ""L. Krull (TE, Practice Squad)"")","c(""J. Landry (WR, R/Injured)"", ""K. White (WR, PS; Vet)"", ""M. Thomas (WR, R/Injured)"", ""K. Kirkwood (WR, Active)"", ""D. Harty (WR, R/Injured)"", ""K. Baker (WR, Practice Squad)"")","c(""V. Gray (DB, Practice Squad)"", ""S. Monday (DB, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","c(""D. Jackson (LB, R/Injured)"", ""N. Sewell (LB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYG","4","c(""X. McKinney (FS, Active)"", ""T. Burgess (FS, PS; Exc)"")","NULL","A. Robinson (CB, R/Injured)","NULL","NULL","c(""N. Williams (DT, R/Injured)"", ""V. Butler (DT, PS; Vet)"", ""D. Davidson (DT, R/Injured)"")","NULL","c(""E. Smith (OLB, R/Injured)"", ""Q. Roche (OLB, PS; Exc)"")","NULL","NULL","NULL","c(""S. Kindley (G, Reserve/Future)"", ""S. Lemieux (G, R/Injured)"", ""J. Ezeudu (G, R/Injured)"", ""M. McKethan (G, R/Injured)"")","c(""K. Cunningham (T, PS; Vet)"", ""D. Hamilton (T, Practice Squad)"")","NULL","NULL","NULL","D. Webb (QB, Practice Squad)","c(""S. Platzgummer (RB, Int'l PSquad)"", ""J. Corbin (RB, Practice Squad)"")","J. Gillan (P, Active)","G. Gano (K, Active)","C. Kreiter (LS, Active)","C. Myarick (TE, Practice Squad)","c(""S. Shepard (WR, R/Injured)"", ""J. Mickens (WR, PS; Vet)"", ""J. Washington (WR, PS; Vet)"", ""D. Sills (WR, Practice Squad)"", ""C. Johnson (WR, R/Injured)"", ""C. Robinson (WR, R/Injured)"", ""M. Polk (WR, Active)"", ""K. Pimpleton (WR, Practice Squad)"", ""A. Miller (WR, Practice Squad)"")","c(""Z. Gilbert (DB, Active)"", ""T. Thompson (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","D. Beavers (LB, R/Injured)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"NYJ","4","NULL","NULL","c(""C. James (CB, PS; Vet)"", ""J. Moreland (CB, PS; Vet)"", ""Z. Lewis (CB, R/PUP)"", ""B. Echols (CB, R/Injured)"")","L. Joyner (SS, R/Injured)","M. Spencer (DE, Practice Squad)","T. Smart (DT, PS; Vet)","NULL","c(""M. Harris (OLB, Prac Sq.; Inj)"", ""C. Surratt (OLB, PS; Exc)"")","NULL","NULL","NULL","c(""D. Samia (G, R/PUP)"", ""N. Herbig (G, R/Injured)"", ""A. Vera-Tucker (G, R/Injured)"", ""C. Glaser (G, Practice Squad)"")","c(""D. Brown (T, R/Injured)"", ""G. Fant (T, R/Injured)"", ""G. Senat (T, R/NFIN)"", ""M. Becton (T, R/Injured)"", ""M. Mitchell (T, R/NFIL)"", ""S. Schlueter (T, Practice Squad)"")","NULL","NULL","NULL","C. Streveler (QB, PS; Exc)","c(""B. Powell (RB, R/Retired)"", ""C. Bawden (RB, R/Injured)"", ""B. Hall (RB, R/Injured)"")","B. Mann (P, Active)","G. Zuerlein (K, Active)","T. Hennessy (LS, Active)","NULL","c(""D. Spencer (WR, PS; Vet)"", ""R. Adams (WR, R/NFIL)"", ""M. Taylor (WR, PS; Exc)"", ""J. Smith (WR, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PHI","4","c(""A. Harris (FS, PS; Vet)"", ""M. Blair (FS, Reserve/Future)"")","NULL","c(""A. Maddox (CB, Active)"", ""A. Chachere (CB, PS; Exc)"", ""F. McCain (CB, Practice Squad)"")","C. Gardner-Johnson (SS, Active)","c(""D. Barnett (DE, R/Injured)"", ""C. Malveaux (DE, R/Retired)"", ""M. Leo (DE, Int'l PSquad)"", ""J. Robinson (DE, R/Injured)"", ""T. Jackson (DE, PS; Exc)"")","c(""M. Tuipulotu (DT, R/Injured)"", ""M. Wilson (DT, Practice Squad)"", ""N. Elliss (DT, R/NFIN)"")","NULL","c(""R. Quinn (OLB, Active)"", ""D. Taylor (OLB, PS; Exc)"")","S. Bradley (ILB, R/Injured)","C. Tom (C, PS; Vet)","NULL","c(""B. Brooks (G, R/Retired)"", ""I. Opeta (G, PS; Exc)"", ""T. Robinson (G, Practice Squad)"")","c(""R. Johnson (T, PS; Vet)"", ""B. Toth (T, R/PUP)"", ""F. Johnson (T, PS; Vet)"", ""J. Good-Jones (T, Reserve/Future)"", ""J. Williams (T, Reserve/Future)"")","NULL","NULL","NULL","J. Hurts (QB, Active)","K. Brooks (RB, Reserve/Future)","c(""B. Kern (P, Active)"", ""A. Siposs (P, R/Injured; DFR)"")","J. Elliott (K, Active)","R. Lovato (LS, Active)","c(""T. Jackson (TE, R/Injured)"", ""D. Keene (TE, Reserve/Future)"", ""N. Togiai (TE, Practice Squad)"")","c(""G. Ward (WR, PS; Vet)"", ""T. Cleveland (WR, PS; Exc)"", ""D. Allen (WR, Practice Squad)"")","c(""M. Goodrich (DB, Practice Squad)"", ""T. McCollum (DB, Reserve/Future)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"PIT","4","NULL","NULL","c(""W. Jackson (CB, R/Injured; DFR)"", ""J. Witherspoon (CB, R/Injured; DFR)"", ""D. Dawson (CB, PS; Vet)"", ""M. Gilbert (CB, Practice Squad)"")","K. Joseph (SS, R/Injured)","c(""S. Tuitt (DE, R/Retired)"", ""C. Wormley (DE, R/Injured)"", ""M. Tafua (DE, Practice Squad)"")","c(""R. Wren (DT, Active)"", ""C. Davis (DT, Practice Squad)"", ""D. Archibong (DT, R/Retired)"")","NULL","C. Egbule (OLB, PS; Exc)","M. Allen (ILB, R/Injured)","R. McCollum (C, PS; Exc)","NULL","W. Dunkle (G, Practice Squad)","J. Leglue (T, Practice Squad)","NULL","NULL","NULL","NULL","c(""J. McNichols (RB, R/Injured)"", ""A. McFarland (RB, PS; Exc)"", ""J. Huntley (RB, Practice Squad)"")","P. Harvin (P, Active)","C. Boswell (K, Active)","C. Kuntz (LS, Active)","R. Williams (TE, Practice Squad)","c(""A. Miller (WR, R/Injured)"", ""C. White (WR, PS; Exc)"", ""J. Bradley (WR, Practice Squad)"", ""C. Austin (WR, R/Injured)"")","c(""S. Nelson (DB, Practice Squad)"", ""C. Platel (DB, R/Injured)"")","NULL","NULL","NULL","NULL","C. Russell (MLB, PS; Exc)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"SEA","4","c(""J. Jones (FS, R/Injured)"", ""S. Parker (FS, PS; Vet)"", ""J. Blount (FS, R/Injured)"")","NULL","I. Dunn (CB, R/Injured; DFR)","J. Adams (SS, R/Injured)","c(""A. Robinson (DE, R/Injured)"", ""J. Onujiogu (DE, Active)"")","J. Hewitt (DT, Practice Squad)","c(""B. Mone (NT, R/Injured)"", ""I. Mack (NT, Waivers/No Rec.)"")","c(""K. Wright (OLB, R/Retired)"", ""B. Burr-Kirven (OLB, R/PUP)"", ""D. Johnson (OLB, R/Injured)"", ""A. Donkor (OLB, Int'l PSquad)"")","c(""A. Johnson (ILB, Active)"", ""J. Brooks (ILB, R/Injured)"")","J. Hunt (C, PS; Vet)","NULL","c(""J. Sweezy (G, R/Retired)"", ""G. Eiland (G, Practice Squad)"")","J. McKenzie (T, Practice Squad)","NULL","NULL","NULL","S. Mannion (QB, PS; Vet)","c(""W. Gallman (RB, PS; Vet)"", ""R. Penny (RB, R/Injured)"", ""T. Homer (RB, R/Injured)"", ""D. Thompson (RB, PS; Exc)"", ""T. Jones (RB, Active)"")","M. Dickson (P, Active)","J. Myers (K, Active)","c(""J. Tinker (LS, Active)"", ""T. Ott (LS, R/Injured)"")","c(""J. Hollister (TE, PS; Vet)"", ""W. Dissly (TE, R/Injured)"")","c(""M. Goodwin (WR, R/Injured)"", ""C. Thompson (WR, R/Injured)"", ""E. Winston (WR, Practice Squad)"", ""D. Eskridge (WR, R/Injured; DFR)"", ""C. Wedington (WR, Practice Squad)"", ""C. Johnson (WR, Active)"")","C. Steele (DB, Practice Squad)","NULL","C. Gillaspia (FB, R/Injured)","NULL","NULL","NULL","NULL","c(""C. Garrett (LB, Practice Squad)"", ""T. Smith (LB, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"SF","4","NULL","NULL","c(""J. Jenkins (CB, Active)"", ""J. Verrett (CB, R/Injured)"", ""D. Johnson (CB, Prac Sq.; Inj)"", ""E. Moseley (CB, R/Injured)"", ""A. Parker (CB, Reserve/Future)"")","NULL","c(""A. Barrett (DE, Practice Squad)"", ""K. Turay (DE, PS; Vet)"")","c(""A. Spence (DT, PS; Vet)"", ""H. Ridgeway (DT, R/Injured)"", ""M. Hurst (DT, R/Injured)"", ""J. Kinlaw (DT, Active)"", ""M. Dwumfour (DT, Practice Squad)"", ""K. Davis (DT, R/NFIN)"")","NULL","NULL","c(""C. Robinson (ILB, Practice Squad)"", ""M. McCrary-Ball (ILB, Practice Squad)"")","c(""A. Mack (C, R/Retired)"", ""K. Ismael (C, PS; Exc)"")","NULL","J. Poe (G, Practice Squad)","c(""A. Gutierrez (T, Int'l PSquad)"", ""L. Watson (T, Practice Squad)"")","NULL","NULL","NULL","T. Lance (QB, R/Injured)","c(""F. Gore (RB, R/Retired)"", ""T. Coleman (RB, Active)"", ""E. Mitchell (RB, Active)"")","M. Wishnowsky (P, Active)","R. Gould (K, Active)","T. Pepper (LS, Active)","J. Matthews (TE, R/Injured)","c(""W. Snead (WR, PS; Vet)"", ""D. Newsome (WR, Practice Squad)"", ""D. Martin (WR, Practice Squad)"")","c(""T. Hawkins (DB, Practice Squad)"", ""Q. Knight (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TB","4","NULL","NULL","A. Chesley (CB, R/Injured)","NULL","c(""I. Odenigbo (DE, PS; Vet)"", ""H. Rashed (DE, Practice Squad)"")","c(""W. Previlon (DT, Practice Squad)"", ""M. Greene (DT, Practice Squad)"")","NULL","c(""S. Barrett (OLB, R/Injured)"", ""G. Avery (OLB, R/Injured)"", ""C. Gill (OLB, R/Injured)"", ""C. Snowden (OLB, Practice Squad)"")","U. Gilbert (ILB, Active)","R. Jensen (C, R/Injured; DFR)","NULL","A. Stinnie (G, R/Injured)","c(""J. Wells (T, R/Injured)"", ""J. Skule (T, PS; Vet)"", ""G. Hermanns (T, Practice Squad)"", ""D. Cook (T, Practice Squad)"")","NULL","NULL","NULL","R. Griffin (QB, PS; Vet)","c(""P. Laird (RB, PS; Vet)"", ""R. White (RB, Active)"")","J. Camarda (P, Active)","R. Succop (K, Active)","Z. Triner (LS, Active)","D. Wells (TE, Practice Squad)","c(""T. Johnson (WR, PS; Exc)"", ""K. Geiger (WR, Practice Squad)"", ""D. Thompkins (WR, Active)"")","c(""D. Gardner (DB, Practice Squad)"", ""N. Turner (DB, Practice Squad)"", ""D. Lowe (DB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","J. Russell (LB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"TEN","4","c(""A. Moore (FS, R/Injured)"", ""S. Carter (FS, Practice Squad)"")","NULL","c(""D. Skrine (CB, R/Retired)"", ""T. Mitchell (CB, R/Injured)"", ""N. Meadors (CB, Practice Squad)"", ""K. Brown (CB, Practice Squad)"", ""C. Jackson (CB, R/Injured)"", ""C. Farley (CB, R/Injured)"", ""E. Molden (CB, R/Injured)"")","A. Adams (SS, R/Injured)","c(""D. Hand (DE, R/Injured)"", ""S. Okuayinonu (DE, Practice Squad)"")","c(""C. Brooks (DT, Practice Squad)"", ""J. Peevy (DT, Practice Squad)"")","NULL","c(""A. Dupree (OLB, R/Injured)"", ""H. Landry (OLB, R/Injured)"")","c(""Z. Cunningham (ILB, R/Injured)"", ""A. Smith (ILB, Active)"", ""D. Long (ILB, R/Injured)"")","B. Jones (C, R/Injured)","NULL","c(""D. Isidora (G, PS; Vet)"", ""J. Roos (G, Active)"", ""J. Jones (G, R/Injured)"", ""N. Davis (G, R/Injured)"", ""Z. Johnson (G, Practice Squad)"")","c(""T. Lewan (T, R/Injured)"", ""D. Radunz (T, R/Injured)"", ""A. Rupcich (T, Practice Squad)"")","NULL","NULL","NULL","c(""R. Tannehill (QB, R/Injured)"", ""K. Hogan (QB, PS; Vet)"")","c(""T. Cannon (RB, R/Injured)"", ""D. Hilliard (RB, R/Injured)"", ""J. Ward (RB, Active)"")","R. Stonehouse (P, Active)","c(""R. Bullock (K, Active)"", ""C. Shudak (K, Practice Squad)"")","C. Cox (LS, Active)","T. Odukoya (TE, Int'l PSquad)","c(""C. Board (WR, R/Injured)"", ""C. Hollister (WR, R/Injured)"", ""M. Kinsey (WR, Practice Squad)"", ""D. Fitzpatrick (WR, Practice Squad)"", ""K. Philips (WR, R/Injured)"", ""R. Roberson (WR, Practice Squad)"")","M. Brown (DB, Active)","NULL","NULL","NULL","NULL","NULL","NULL","c(""C. Campbell (LB, R/Injured)"", ""Z. McCloud (LB, Practice Squad)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
"WAS","4","T. Apke (FS, Active)","NULL","c(""C. Elder (CB, PS; Vet)"", ""B. St-Juste (CB, R/Injured)"", ""T. Castro-Fields (CB, R/Injured; DFR)"")","NULL","c(""P. Kerrigan (DE, R/Retired)"", ""B. Potoa'e (DE, Active)"", ""W. Bradley-King (DE, Practice Squad)"")","P. Mathis (DT, R/Injured)","NULL","c(""J. Bostic (OLB, R/Injured)"", ""N. Gerry (OLB, Active)"", ""J. Davis (OLB, R/Injured)"")","NULL","c(""T. Larsen (C, R/Injured)"", ""C. Roullier (C, R/Injured)"")","NULL","c(""K. Sutherland (G, Practice Squad)"", ""N. Laufenberg (G, Practice Squad)"")","c(""A. Monteiro (T, Practice Squad)"", ""S. Charles (T, R/Injured)"", ""A. Akingbulu (T, Active)"")","NULL","NULL","NULL","W. Fromm (QB, Practice Squad)","c(""J. McKissic (RB, R/Injured)"", ""A. Armah (RB, PS; Vet)"", ""A. Gibson (RB, R/Injured)"", ""J. Patterson (RB, Active)"")","T. Way (P, Active)","J. Slye (K, Active)","C. Cheeseman (LS, Active)","c(""E. Wolf (TE, R/Injured)"", ""C. Hodges (TE, R/Injured; DFR)"", ""A. Rogers (TE, Active)"")","c(""A. Erickson (WR, PS; Vet)"", ""M. Michel (WR, Practice Squad)"", ""A. Gandy-Golden (WR, R/Retired)"", ""K. Mcgowan (WR, Practice Squad)"")","D. Fields (DB, Practice Squad)","NULL","NULL","NULL","NULL","C. Holcomb (MLB, R/Injured)","NULL","c(""D. Harris (LB, R/Injured)"", ""F. Gardner (LB, Practice Squad)"", ""D. White (LB, R/Injured)"")","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL"
